_id,_sampledSeconds,_traveltime,_overlapTraveltime,_density,_laneDensity,_occupancy,_waitingTime,_timeLoss,_speed,_departed,_arrived,_entered,_left,_laneChangedFrom,_laneChangedTo,_vaporized
-101087991#0,10.68,1.26,1.75,0.08,0.08,0.03,0.00,3.13,9.73,0,7,7,0,0,0,
-101087991#1,35.65,7.00,7.98,0.08,0.08,0.04,0.00,16.22,5.99,5,0,0,5,0,0,
-101087993#0,104.60,3.99,4.53,2.46,2.46,0.79,59.00,79.53,1.95,9,0,18,27,0,0,
-101087993#1,262.87,15.81,16.59,0.15,0.15,0.07,12.00,69.86,9.84,5,0,11,16,0,0,
-101088002,50.37,16.10,17.86,0.06,0.06,0.03,10.00,31.89,4.77,3,0,0,3,0,0,
-103736814#0,8.89,4.10,4.72,0.02,0.02,0.01,0.00,0.46,7.95,0,2,2,0,0,0,
-103736814#1,180.62,2.21,3.09,1.40,1.40,0.51,0.00,46.74,5.42,4,1,56,59,0,0,
-103736814#2,113.43,1.13,1.95,1.68,1.68,0.47,0.00,35.97,5.70,5,5,56,56,0,0,
-105412946#0,865.27,2.17,3.04,7.56,7.56,2.83,64.00,489.75,5.06,4,6,282,280,0,0,
-105412946#1,1187.69,3.46,4.20,2.71,2.71,1.16,13.00,267.98,10.68,4,1,279,282,0,0,
-105412946#10,682.65,1.77,2.15,2.70,2.70,1.11,0.00,37.14,13.02,4,5,314,313,0,0,
-105412946#11,2078.33,6.04,6.42,2.36,2.36,1.11,0.00,83.40,13.23,2,10,322,314,0,0,
-105412946#12,2082.18,5.96,6.34,2.53,2.53,1.18,0.00,179.86,12.60,5,7,324,322,0,0,
-105412946#13,571.31,1.49,1.99,3.17,3.17,1.22,3.00,105.84,10.72,4,8,284,280,0,0,
-105412946#15,6479.54,19.02,19.53,2.44,2.44,1.19,0.00,512.47,12.63,4,2,328,330,0,0,
-105412946#2,3416.00,11.62,11.99,2.03,2.03,0.98,0.00,153.22,13.17,4,6,281,279,0,0,
-105412946#3,609.04,1.44,1.91,3.27,3.27,1.27,1.00,84.65,11.46,5,7,315,313,0,0,
-105412946#4,1467.18,4.21,4.61,2.45,2.45,1.12,0.00,94.44,12.90,4,4,315,315,0,0,
-105412946#5,493.65,1.16,1.54,3.03,3.03,1.14,0.00,32.17,12.88,3,7,319,315,0,0,
-105412946#6,646.36,1.62,2.01,2.90,2.90,1.17,0.00,55.93,12.58,8,5,316,319,0,0,
-105412946#7,295.11,0.53,0.93,3.93,3.93,1.15,0.00,21.25,12.78,6,6,316,316,0,0,
-105412946#8,1477.37,4.26,4.64,2.42,2.42,1.11,0.00,77.25,13.06,4,3,315,316,0,0,
-105412946#9,493.90,1.17,1.56,2.98,2.98,1.13,0.00,33.07,12.86,5,3,313,315,0,0,
-107644000,9036.52,33.47,33.85,1.83,1.83,0.90,0.00,305.58,13.41,6,2,261,265,0,0,
-107644001#0,1561.67,4.00,4.42,2.79,2.79,1.27,0.00,99.77,12.64,6,2,348,352,0,0,
-107644001#1,316.60,0.52,0.91,4.23,4.23,1.22,0.00,15.79,13.05,2,3,349,348,0,0,
-107850850,12.54,12.20,12.80,0.01,0.01,0.01,0.00,0.84,8.11,0,1,1,0,0,0,
-107852175#0,850.54,6.34,7.11,1.70,1.70,0.77,14.00,123.29,7.09,4,3,116,117,0,0,
-107852175#1,826.27,8.95,9.64,1.11,1.11,0.52,0.00,75.54,7.55,3,3,83,83,0,0,
-107852175#2,478.23,4.91,5.61,1.22,1.22,0.54,0.00,60.73,7.26,3,6,83,80,0,0,
-107852175#3,678.35,7.23,7.86,1.08,1.08,0.50,0.00,37.10,7.87,7,4,80,83,0,0,
