_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
254.00,collision,306596445#0_0,24.59,210,199,HDV,HDV,2.03,0.00
289.00,collision,55687119#2_0,85.07,277,229,HDV,CAV2,1.44,0.00
441.00,collision,42888553#4_0,63.12,294,398,HDV,HDV,3.28,0.00
609.00,collision,42888553#4_1,85.63,405,542,HDV,HDV,4.11,0.00
762.00,collision,-131838566#0_0,42.90,666,635,HDV,CAV2,0.87,0.00
784.00,collision,307192473#4_0,107.41,581,691,HDV,HDV,1.58,0.00
871.00,collision,-131655247#0_1,5.34,664,694,HDV,HDV,0.53,0.00
942.00,collision,-338085757#1_0,214.57,813,687,HDV,CAV4,4.36,0.00
981.00,collision,42888553#4_1,87.79,785,817,HDV,CAV2,2.28,0.25
1015.00,collision,-8232907_0,9.58,571,860,HDV,HDV,3.65,0.00
1169.00,collision,24001181_0,10.48,899,913,HDV,HDV,4.14,0.00
1198.00,collision,-95807620#0_0,18.91,1075,1085,HDV,CAV2,0.41,0.00
1198.00,collision,306865642#14_0,16.88,988,1060,HDV,CAV2,4.30,0.00
1234.00,collision,307192473#4_0,107.41,953,1098,HDV,CAV2,1.79,0.00
1418.00,collision,-131655247#0_1,5.35,1211,1339,HDV,HDV,2.71,0.00
1645.00,collision,-22762648#0_0,8.49,1564,1522,HDV,HDV,3.36,0.00
1866.00,collision,-306596445#1_0,37.74,1794,1746,HDV,HDV,4.47,0.00
1876.00,collision,306596445#0_0,24.59,1602,1850,HDV,CAV2,1.86,0.00
1884.00,collision,896868665#2_0,7.86,1849,1791,CAV2,CAV2,3.85,0.00
2009.00,collision,245232797#2_0,61.42,1771,1899,HDV,CAV2,1.29,0.00
2055.00,collision,896868665#2_0,12.56,2023,1950,HDV,HDV,0.68,0.00
2269.00,collision,245232806#6_1,66.19,2233,1987,HDV,HDV,3.82,0.00
2287.00,collision,95807619#13_0,14.63,2210,2092,HDV,HDV,0.86,0.00
2328.00,collision,-131655247#0_0,5.35,2154,2124,HDV,HDV,2.92,0.00
2348.00,collision,95807619#13_0,36.65,2283,2323,HDV,HDV,3.60,0.00
2519.00,collision,38078663#2_1,98.98,2264,2381,HDV,HDV,2.65,0.00
2519.00,collision,-196190040#1_0,162.06,2500,2399,HDV,CAV2,2.00,0.00
2771.00,collision,42888553#4_1,85.62,2632,2610,HDV,HDV,3.85,0.00
2860.00,collision,896868665#2_0,5.06,2623,2800,HDV,HDV,1.26,0.00
2867.00,collision,307192473#4_1,107.41,2751,2763,HDV,HDV,3.14,0.00
2895.00,collision,245232808#3_0,52.07,2887,2765,HDV,HDV,2.14,0.00
2903.00,collision,-8232907_0,9.57,2773,2775,HDV,CAV2,4.46,0.00
3078.00,collision,95807619#13_0,22.15,2879,2896,HDV,CAV2,4.50,0.00
3139.00,collision,245232801_0,91.58,2849,2769,HDV,HDV,2.47,0.00
3229.00,collision,-896868665#4_0,39.20,3097,2952,HDV,HDV,1.25,0.00
3234.00,collision,-202855821#0_0,32.17,3149,3109,HDV,HDV,2.23,0.00
3261.00,collision,306865642#12_0,36.24,3222,3152,HDV,HDV,4.12,0.00
3308.00,collision,307192473#4_0,100.41,3027,3255,HDV,CAV2,0.45,0.00
3612.00,collision,95807619#13_0,36.64,3457,3538,HDV,HDV,2.48,0.00
3665.00,collision,306596445#0_0,24.60,3587,3370,HDV,HDV,3.98,0.00
3763.00,collision,24001181_0,2.97,3701,3604,HDV,HDV,2.86,0.00
3846.00,collision,42888553#4_0,93.12,3642,3649,HDV,CAV2,0.71,0.00
4008.00,collision,306865642#12_0,28.72,3965,3917,HDV,HDV,3.45,0.00
4130.00,collision,306596445#0_0,24.59,3857,4071,HDV,CAV4,3.89,0.00
4353.00,collision,-95807620#0_0,18.91,4295,4213,HDV,HDV,1.36,0.00
4379.00,collision,-23453287#11_0,28.13,4038,4309,HDV,CAV2,2.51,0.00
4394.00,collision,245232807#7_1,200.28,4290,4287,HDV,HDV,1.13,0.00
4884.00,collision,95807619#13_0,29.13,4688,4852,HDV,HDV,1.43,0.00
4952.00,collision,23453287#8_0,2.91,4912,4648,HDV,HDV,2.50,0.00
5154.00,collision,-8232907_0,9.58,5109,4994,HDV,CAV2,2.43,0.00
5271.00,collision,42888553#4_0,93.12,5200,5119,HDV,HDV,1.85,0.00
5481.00,collision,306596445#0_0,24.59,5340,5222,HDV,HDV,1.47,0.00
5549.00,collision,42888553#4_1,85.62,5419,5453,HDV,HDV,1.14,0.00
5572.00,collision,-131655426#1_0,4.94,5352,5541,HDV,HDV,4.34,0.00
6029.00,collision,-476127076#1_0,30.22,5784,5904,HDV,CAV4,1.22,0.00
6100.00,collision,245232807#7_1,200.28,5978,5974,HDV,CAV2,0.40,0.00
6158.00,junction,:245225000_2_1,0.21,5784,6004,HDV,HDV,1.18,0.00
