_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
169.00,collision,-202855820_0,10.06,74,40,HDV,HDV,1.00,0.00
254.00,collision,306596445#0_0,24.59,210,199,HDV,HDV,2.81,0.00
264.00,collision,307192473#4_0,107.41,30,58,HDV,HDV,1.25,0.00
369.00,collision,245232806#6_1,58.68,345,309,HDV,HDV,3.53,0.00
441.00,collision,23453287#7_0,25.76,262,318,HDV,HDV,4.42,0.00
525.00,collision,42888553#4_0,85.63,165,391,HDV,HDV,2.77,0.00
527.00,collision,42888553#4_1,93.13,452,392,HDV,HDV,3.18,0.00
706.00,collision,245232801_1,91.57,459,371,HDV,HDV,1.41,0.00
716.00,collision,24001181_0,10.47,458,500,HDV,HDV,1.54,0.00
980.00,collision,42888553#4_1,85.63,820,785,HDV,HDV,2.56,0.00
1004.00,collision,95799600#10_0,5.41,922,932,HDV,HDV,1.38,0.00
1169.00,collision,-131655426#2_0,60.48,1063,995,HDV,HDV,1.46,0.00
1592.00,collision,476127076#2_0,114.09,1483,1344,HDV,HDV,2.97,0.00
1613.00,collision,23453287#8_0,25.41,1483,1298,HDV,HDV,3.85,0.00
1662.00,collision,-23453287#1_0,40.16,1635,1471,HDV,HDV,3.43,0.00
1683.00,collision,23453287#8_0,32.91,1598,1556,HDV,HDV,2.35,0.00
1717.00,collision,95799600#10_0,5.41,1672,1704,HDV,HDV,0.70,0.00
1829.00,collision,55687119#2_0,85.06,1801,1387,HDV,HDV,0.76,0.00
1861.00,collision,42888553#4_0,93.13,1833,1743,HDV,HDV,2.72,0.00
2030.00,collision,-202855820_0,10.06,1972,1945,HDV,HDV,0.86,0.00
2041.00,collision,476127076#2_0,106.60,1843,1908,HDV,HDV,4.32,0.00
2148.00,collision,105412946#14_0,233.36,2126,2054,HDV,HDV,0.43,0.00
2269.00,collision,306865642#14_0,9.36,2121,2164,HDV,HDV,1.47,0.00
2407.00,collision,105412946#14_0,233.37,2324,2338,HDV,HDV,2.15,0.00
2734.00,collision,95799600#10_0,5.42,2667,2643,HDV,HDV,3.52,0.00
3031.00,collision,245232812_0,18.89,2868,2966,HDV,HDV,3.53,0.00
3223.00,collision,23453287#8_0,10.40,2988,3002,HDV,HDV,1.32,0.00
3236.00,collision,38078663#2_1,98.97,3225,3134,HDV,HDV,1.92,0.00
3388.00,collision,23453287#8_0,25.40,3287,3255,HDV,HDV,1.13,0.00
3454.00,collision,-338085757#1_0,221.57,3346,3371,HDV,HDV,3.59,0.00
3580.00,collision,-476127076#1_0,52.22,3453,3446,HDV,HDV,1.12,0.00
3683.00,collision,306596445#0_0,17.10,3661,3587,HDV,HDV,4.10,0.00
3745.00,collision,-338085757#1_0,223.50,3619,3616,HDV,HDV,4.10,0.00
3755.00,collision,23453287#8_0,32.90,3594,3484,HDV,HDV,0.84,0.00
3862.00,collision,307192473#4_0,107.42,3603,3728,HDV,HDV,4.49,0.00
3882.00,collision,245232797#2_0,61.43,3870,3775,HDV,HDV,1.94,0.00
3939.00,collision,42888553#4_0,85.62,3830,3874,HDV,HDV,4.39,0.00
4040.00,collision,-131655426#1_0,12.43,3874,3911,HDV,HDV,2.87,0.00
4125.00,collision,245232801_1,91.58,3908,4082,HDV,HDV,3.44,0.00
4182.00,collision,-23453287#1_0,47.66,4011,4146,HDV,HDV,1.76,0.00
4378.00,collision,-131838566#0_0,42.90,4126,4266,HDV,HDV,1.34,0.00
4552.00,collision,-131655247#0_1,5.36,4471,4510,HDV,HDV,4.11,0.00
4766.00,collision,307192473#4_0,99.91,4555,4589,HDV,HDV,0.66,0.00
4858.00,collision,38078663#2_0,83.97,4813,4574,HDV,HDV,1.41,0.00
4915.00,collision,-131838566#0_0,42.90,4838,4895,HDV,HDV,0.53,0.00
5008.00,collision,476127076#2_0,114.09,4708,4817,HDV,HDV,2.60,0.00
5107.00,collision,42888553#4_0,85.63,4993,5054,HDV,HDV,1.72,0.00
5301.00,collision,-131655247#0_0,5.34,5154,5090,HDV,HDV,1.61,0.00
5391.00,collision,307192473#4_0,99.93,5240,5244,HDV,HDV,3.69,0.00
5397.00,collision,307192473#4_1,92.41,5123,5226,HDV,HDV,4.51,0.00
5465.00,collision,42888553#4_0,78.13,5352,5263,HDV,HDV,3.01,0.00
5471.00,collision,-202855820_0,10.08,5416,5396,HDV,HDV,4.47,0.00
5516.00,collision,306865642#14_0,9.36,5228,5390,HDV,HDV,4.11,0.00
