_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
258.00,collision,307192473#4_0,107.42,14,58,HDV,HDV,3.67,0.00
424.00,collision,306596445#0_0,24.59,303,307,HDV,HDV,3.01,0.00
492.00,collision,-131838565#0_0,61.09,403,414,HDV,HDV,1.87,0.00
560.00,collision,95807619#13_0,36.64,353,411,HDV,HDV,1.74,0.00
793.00,collision,23453287#8_0,25.40,655,484,HDV,HDV,1.26,0.00
1224.00,collision,-202855820_0,10.06,1136,1082,HDV,HDV,0.85,0.00
1339.00,collision,307192473#4_1,107.42,1160,1102,HDV,HDV,3.89,0.00
1343.00,collision,-131655426#2_0,60.48,1192,1141,HDV,HDV,1.02,0.00
1401.00,collision,42888553#4_0,93.12,1342,1293,HDV,HDV,1.39,0.00
1437.00,collision,-476193290#0_0,32.25,1237,1394,HDV,HDV,0.98,0.00
1505.00,collision,306596445#0_0,24.60,1339,1380,HDV,HDV,3.73,0.00
1598.00,collision,-896868665#4_0,46.70,1552,1568,HDV,HDV,0.75,0.00
1730.00,collision,95799600#9_0,3.05,1647,1672,HDV,HDV,3.36,0.00
1770.00,collision,-202855820_0,10.07,1667,1660,HDV,HDV,1.53,0.00
1780.00,collision,23453287#8_0,17.92,1633,1385,HDV,HDV,4.41,0.00
1829.00,collision,55687119#2_0,85.07,1801,1387,HDV,HDV,3.00,0.00
1862.00,collision,-131838566#0_0,42.90,1754,1728,HDV,HDV,0.66,0.00
1878.00,collision,42888553#4_0,78.12,1669,1684,HDV,HDV,1.08,0.00
1976.00,collision,-306596440#0_0,60.71,1667,1916,HDV,HDV,2.42,0.00
2055.00,collision,-131655247#0_0,5.34,1985,2047,HDV,HDV,3.29,0.00
2064.00,collision,-131655426#1_0,12.42,1869,1845,HDV,HDV,1.18,0.00
2121.00,collision,245232801_0,91.58,1816,1781,HDV,HDV,1.85,0.00
2336.00,collision,23453287#8_0,25.41,2150,2183,HDV,HDV,2.06,0.00
2349.00,collision,95807619#13_0,36.64,2283,2323,HDV,HDV,2.31,0.00
2378.00,collision,95799600#10_0,5.42,2211,2255,HDV,HDV,4.27,0.00
2474.00,collision,306865642#12_0,21.22,2301,2254,HDV,HDV,1.41,0.00
2513.00,collision,42888553#4_0,78.12,2407,2426,HDV,HDV,0.87,0.00
2554.00,collision,95807619#13_0,21.64,2418,2354,HDV,HDV,3.66,0.00
2684.00,collision,-23453287#11_0,28.13,2635,2544,HDV,HDV,3.43,0.00
2695.00,collision,-131655247#0_0,5.35,2507,2437,HDV,HDV,4.14,0.00
2922.00,collision,-202855820_0,10.06,2598,2837,HDV,HDV,1.92,0.00
2943.00,collision,38078663#2_0,98.97,2817,2657,HDV,HDV,0.85,0.00
2978.00,collision,-196190040#1_0,169.92,2878,2833,HDV,HDV,3.80,0.00
3045.00,collision,-306596440#0_0,60.71,2906,2946,HDV,HDV,3.44,0.00
3273.00,collision,-22762648#0_0,0.98,3193,3177,HDV,HDV,0.56,0.00
3364.00,collision,245232795#2_1,199.59,3246,2972,HDV,HDV,0.74,0.00
3684.00,collision,306596445#0_0,17.08,3661,3587,HDV,HDV,0.59,0.00
3689.00,collision,138505355_1,12.32,3501,3449,HDV,HDV,0.50,0.00
3691.00,collision,23453287#8_0,17.91,3460,3487,HDV,HDV,1.86,0.00
3753.00,collision,23453287#8_0,25.41,3594,3484,HDV,HDV,2.34,0.00
4179.00,collision,245232795#2_1,199.59,4158,3908,HDV,HDV,1.19,0.00
4191.00,collision,245232801_0,92.02,3938,3978,HDV,HDV,1.30,0.00
4313.00,collision,896868665#2_0,12.57,4140,4200,HDV,HDV,1.44,0.00
4411.00,collision,-23453287#11_0,13.13,4331,4245,HDV,HDV,3.60,0.00
4497.00,collision,-131655426#1_0,12.42,4232,4425,HDV,HDV,0.69,0.00
4627.00,collision,95799600#8_0,23.54,4572,4516,HDV,HDV,1.95,0.00
4751.00,collision,245232801_1,91.58,4436,4428,HDV,HDV,2.45,0.00
4831.00,collision,-131655426#1_0,12.43,4621,4773,HDV,HDV,3.04,0.00
4861.00,collision,38078663#2_0,76.47,4550,4813,HDV,HDV,2.02,0.00
4922.00,collision,-131655426#1_0,12.43,4695,4831,HDV,HDV,1.71,0.00
4937.00,collision,23453287#8_0,2.90,4648,4879,HDV,HDV,0.76,0.00
5035.00,collision,476127076#2_0,106.59,4877,4708,HDV,HDV,2.86,0.00
5038.00,collision,-196190040#1_0,161.56,4965,4956,HDV,HDV,2.12,0.00
5174.00,collision,-202855820_0,10.08,5078,5063,HDV,HDV,3.59,0.00
5290.00,collision,42888553#4_1,93.13,5204,5149,HDV,HDV,3.87,0.00
5303.00,collision,307192473#4_0,99.92,4997,5061,HDV,HDV,3.28,0.00
5453.00,collision,23453287#8_0,32.91,5123,5244,HDV,HDV,2.11,0.00
5520.00,collision,-95807620#0_0,21.47,5481,5350,HDV,HDV,2.56,0.00
5663.00,collision,-476127076#1_0,44.72,5423,5592,HDV,HDV,0.52,0.00
5898.00,collision,306865642#12_0,21.23,5810,5617,HDV,HDV,3.66,0.00
5937.00,collision,245232806#6_1,66.19,5721,5785,HDV,HDV,3.25,0.00
5999.00,collision,476127076#2_0,114.08,5623,5837,HDV,HDV,2.27,0.00
6021.00,collision,-131655247#0_1,5.34,5926,5786,HDV,HDV,4.27,0.00
6188.00,collision,307192473#4_0,107.41,5994,5980,HDV,HDV,4.21,0.00
6198.00,collision,-196190040#1_0,169.05,6123,6043,HDV,HDV,3.00,0.00
