_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
836.00,collision,476127076#2_0,101.61,781,715,CAV4,CAV4,8.08,0.00
2907.00,collision,476127076#2_0,116.68,2603,2632,CAV4,CAV4,5.47,0.00
3726.00,junction,:245225073_0_0,6.78,3527,3544,CAV4,CAV4,5.85,0.10
3888.00,collision,-131655426#2_0,57.62,3685,3827,CAV4,CAV4,6.84,0.15
4172.00,junction,:253526448_1_1,6.35,4026,3893,CAV4,CAV4,7.71,0.00
5791.00,collision,-42888553#0_0,61.82,5582,5607,CAV4,CAV4,5.60,0.00
7855.00,collision,476127076#2_0,109.06,7561,7558,CAV4,CAV4,6.61,0.00
8311.00,collision,476127076#2_0,100.52,8066,8019,CAV4,CAV4,4.72,0.00
8400.00,collision,-131655426#2_0,51.16,8307,8302,CAV4,CAV4,6.85,0.00
9403.00,junction,:245225006_2_0,4.37,9241,9188,CAV4,CAV4,6.29,0.00
